,tconst,startYear,runtimeMinutes,genres,title
340,tt0081318,1980,93,['Horror'],Frayeurs
341,tt0081323,1980,82,['Comedy'],"Pepi, Luci, Bom et les autres filles du quartier"
342,tt0081330,1980,105,['Drama'],La petite sirène
343,tt0081334,1980,91,"['Drama', 'Horror', 'Thriller']",Phobia
344,tt0081339,1980,105,"['Crime', 'Drama', 'Mystery']",Pile ou face
345,tt0081350,1980,65,"['Adventure', 'Animation', 'Family']",Jeannot et Mariette
346,tt0081353,1980,114,"['Adventure', 'Comedy', 'Family']",Popeye
347,tt0081363,1981,93,['Comedy'],Une blonde émoustillante
348,tt0081366,1984,84,['Horror'],La force
349,tt0081375,1980,109,"['Comedy', 'War']",La bidasse
350,tt0081376,1980,91,"['Comedy', 'Mystery']",The Private Eyes
351,tt0081383,1980,92,"['Horror', 'Mystery', 'Thriller']",Le Bal de l'horreur
352,tt0081385,1980,107,['Drama'],La provinciale
353,tt0081387,1981,92,['Comedy'],Psy
354,tt0081398,1980,129,"['Biography', 'Drama', 'Sport']",Raging Bull
355,tt0081400,1980,115,"['Action', 'Adventure', 'Drama']",La guerre des abîmes
356,tt0081404,1980,99,['Action'],3 fantastiques ceintures noires
357,tt0081405,1980,105,['Drama'],Le rebelle
358,tt0081411,1980,85,"['Comedy', 'Fantasy']",Rendez-moi ma peau...
359,tt0081414,1980,103,"['Drama', 'Fantasy']",Resurrection
360,tt0081415,1981,92,['Horror'],El retorno del Hombre Lobo
361,tt0081416,1980,117,['Drama'],Retour à Marseille
362,tt0081421,1980,91,"['Mystery', 'Sci-Fi', 'Thriller']",The Return
363,tt0081429,1980,98,['Comedy'],La lycéenne fait de l'oeil au proviseur
364,tt0081432,1982,84,"['Drama', 'Horror', 'Mystery']",Black Candles
365,tt0081439,1980,112,"['Adventure', 'Comedy', 'Crime']",Le lion sort ses griffes
366,tt0081441,1980,133,"['Drama', 'Music']",Rude Boy
367,tt0081445,1980,96,"['Action', 'Adventure', 'Drama']",Les marais de la mort
368,tt0081447,1980,100,"['Action', 'Adventure']",Pour les yeux de Jessica B.
369,tt0081452,1980,88,"['Action', 'Comedy']",Ping et Pong
370,tt0081455,1981,103,"['Horror', 'Sci-Fi', 'Thriller']",Scanners
371,tt0081457,1980,96,"['Horror', 'Sci-Fi']",Scared to Death
372,tt0081459,1980,89,"['Drama', 'Horror', 'Mystery']",L'Homme aux ciseaux
373,tt0081461,1980,86,"['Comedy', 'Drama']",Collégiennes expertes
374,tt0081464,1980,85,"['Comedy', 'Crime', 'Drama']",Les folles nuits d'Ibiza
375,tt0081470,1980,120,"['Action', 'History', 'War']",Le commando de sa majesté
376,tt0081471,1980,85,"['Comedy', 'Fantasy']",Filles sans voile
377,tt0081479,1980,91,['Drama'],Graine d'amour
